Glyph,Count,,,
0,0,12,0,
1,0,2,0,
2,0,7,0,
3,0,3,0,
4,0,3,0,
5,0,1,0,
6,0,2,0,
7,0,8,0,
8,0,10,0,
9,0,4,0,
10,0,1,0,
11,0,0,7,
12,0,0,1,
13,0,0,5,
14,4,0,0,
15,1,0,0,
16,10,0,0,
17,22,0,0,
18,0,2,0,
19,0,3,0,
20,0,1,0,
21,0,8,0,
22,0,3,0,
23,0,2,0,
24,8,0,0,
25,6,0,0,
26,0,0,0,
27,10,0,0,
28,0,0,2,
29,0,0,6,
30,0,0,9,
31,0,0,3,
32,0,0,13,
33,0,0,8,
34,0,0,1,
35,0,0,6,
36,0,0,8,
37,0,0,2,
38,6,0,0,
39,2,0,0,
40,0,0,21,
41,0,0,4,
42,0,1,0,
43,0,12,0,
44,0,4,0,
45,0,2,0,
46,0,0,1,
47,11,0,0,
48,2,0,0,
49,7,0,0,
50,8,0,0,
51,1,0,0,
52,2,0,0,
53,2,0,0,
54,4,0,0,
55,2,0,0,
56,1,0,0,
57,1,0,0,
58,15,0,0,
59,0,0,8,
60,0,0,2,
61,0,0,4,
62,0,0,8,
63,0,0,1,
64,0,0,9,
65,0,0,11,
66,15,0,0,
67,0,0,3,
68,0,0,5,
69,0,0,9,
70,0,0,3,
71,0,0,8,
72,0,0,5,
73,0,0,2,
74,0,4,0,
75,0,3,0,
76,0,1,0,
77,0,1,0,
78,0,5,0,
79,0,2,0,
80,0,2,0,
81,2,0,0,
82,0,14,0,
83,14,0,0,
84,2,0,0,
85,7,0,0,
86,0,7,0,
87,0,24,0,
88,0,12,0,
89,0,8,0,
90,0,0,4,
91,0,0,12,
92,0,0,4,
93,0,0,5,
94,0,0,8,
95,0,0,2,
96,0,0,12,
97,0,0,13,
98,0,0,2,
99,2,0,0,
100,18,0,0,
101,1,0,0,
102,3,0,0,
103,2,0,0,
104,3,0,0,
105,2,0,0,
106,4,0,0,
107,1,0,0,
108,8,0,0,
109,6,0,0,
110,0,27,0,
111,0,2,0,
112,0,13,0,
113,0,2,0,
114,0,3,0,
115,0,2,0,
116,0,4,0,
117,0,3,0,
118,0,7,0,
119,1,0,0,
120,8,0,0,
121,13,0,0,
